date,AAPL,AMZN,ASML,DXCM,INTC,MSFT,NVDA,NFLX,PEP,SGEN
2008/5/23,5.524597912,3.9175,43.29616383,1.8925,15.18032219,20.80674038,5.305485426,4.458571339,44.91403908,9.5
2008/5/27,5.68499635,4.031,44.05622483,1.9625,15.30352856,21.09603196,5.362879254,4.575714194,45.40752764,9.29
2008/5/28,5.702682869,4.004,44.24994111,1.995,15.21922946,20.90317091,5.413385822,4.445714197,44.69690411,9.1
2008/5/29,5.692924789,4.0175,44.14562351,1.99,15.00523944,20.99960143,5.399611304,4.335714199,45.28909039,9.45
2008/5/30,5.755742429,4.081,44.65240735,1.9725,15.03117763,21.00701917,5.67051017,4.33714277,44.94035847,9.35
2008/6/2,5.67493333,4.0115,43.43031924,1.945,15.04414672,20.62129706,5.693467701,4.412857055,44.44686991,9
2008/6/3,5.65267271,4.0055,43.69851531,1.885,14.87554852,20.25782816,5.50062444,4.552857052,44.11787753,8.56
2008/6/4,5.64718379,4.075,43.75819094,1.815,15.22571401,20.42843601,5.564905527,4.624285622,44.14767558,8.53
2008/6/5,5.776478348,4.2255,43.51971793,1.8325,15.4786113,20.9921837,5.704946467,4.738571334,44.55822843,9.22
2008/6/6,5.66090609,4.0315,41.68652838,1.8725,14.84961034,20.39134735,5.523581971,4.545714195,43.38616625,8.95
2008/6/9,5.538015271,3.9715,41.38837974,1.825,14.7588267,20.55453747,5.438639106,4.447142768,43.28683894,8.88
2008/6/10,5.66090609,3.981,40.19612944,1.7775,14.70695033,20.68805666,5.117233672,4.375714198,44.75026122,8.82
2008/6/11,5.513620072,3.864,39.88306189,1.755,14.14279483,20.11689124,4.878475349,4.318571342,44.69066484,8.39
2008/6/12,5.283390375,3.8075,40.40476463,1.8075,14.29842393,20.94767731,4.908320139,4.429999911,44.99526857,8.71
2008/6/13,5.256250715,3.9585,40.65815655,2,14.69398124,21.56334912,4.892249867,4.602857051,44.72377394,8.8
2008/6/16,5.392558893,4.085,41.67160947,1.955,14.82367216,21.45950087,4.825673027,4.559999909,43.7305009,9.06
2008/6/17,5.532526351,4.1485,41.56729187,1.9125,14.64210487,21.36307034,4.708589619,4.471428482,43.61792996,8.99
2008/6/18,5.450802432,4.126,40.10673075,1.8975,14.44756849,21.11086743,4.570844433,4.311428485,43.08156252,9.15
2008/6/19,5.516364532,4.213,38.85469006,1.8675,14.81718761,21.45950087,4.559365667,4.585714194,43.6311736,9.67
2008/6/20,5.344683314,4.055,36.97685855,1.8325,14.5059294,20.94025957,4.536408136,4.485714196,43.09480616,9.27
2008/6/23,5.280340975,4.034,36.36575711,1.8575,14.49944486,20.74739852,4.442282259,4.229999915,42.79682425,9.16
2008/6/24,5.283085435,3.982,37.18549374,1.7925,14.53186759,20.56937293,4.589210458,4.14285706,42.39289321,8.69
2008/6/25,5.409330593,4.0255,37.25997352,1.72,14.68749669,21.02927237,4.614463742,4.228571344,43.38616625,8.68
2008/6/26,5.130920376,3.815,36.11236519,1.6725,14.00013481,20.5842084,4.378001172,4.111428489,42.88952973,8.55
2008/6/27,5.186724396,3.733,36.63406794,1.5925,13.93528935,20.49519561,4.426211987,3.819999924,42.33329683,8.79
2008/6/30,5.105915297,3.6665,36.36575711,1.51,13.92880481,20.40618281,4.297649813,3.72428564,42.10815494,8.46
2008/7/1,5.326691854,3.681,36.4551558,1.47,13.98716572,19.93144792,4.304537072,3.871428494,42.64452238,8.02
2008/7/2,5.128480856,3.572,34.99459467,1.4275,13.57215478,19.19709237,4.139242849,3.892857065,43.54508993,8.28
2008/7/3,5.187639216,3.6,35.54602048,1.4175,13.39707204,19.2712697,2.867395629,3.897142779,44.21389378,8.23
2008/7/7,5.341328974,3.6245,35.51629742,1.42,13.42949477,19.30835837,2.777861257,4.035714205,44.11456647,7.92
2008/7/8,5.475197632,3.752,34.15993913,1.605,13.56567023,19.17483918,2.761790986,4.058571347,43.59144268,8.12
2008/7/9,5.313579434,3.5305,33.74266874,1.4625,12.84588563,18.71493975,2.71358017,4.088571347,43.2735953,8.07
2008/7/10,5.386155153,3.5315,33.98114176,1.4975,13.37113385,18.87812987,2.706692911,3.978571349,43.43251899,8.47
2008/7/11,5.262654455,3.427,33.80222962,1.65,13.38410294,18.72977521,2.679143874,3.887142779,42.81668971,8.68
2008/7/14,5.302296654,3.314,34.11529717,1.535,13.27386566,18.65559788,2.557468959,3.972857063,42.98223521,8.45
2008/7/15,5.173002096,3.3515,35.17350681,1.6825,13.42949477,19.39737116,2.585017997,3.958571349,43.41927535,8.82
2008/7/16,5.269668075,3.592,33.87682416,1.7375,13.55918569,20.2207395,2.598792515,4.015714205,43.76361,9.29
2008/7/17,5.239174075,3.6055,34.72628385,1.8025,14.25951665,20.41360055,2.607975528,3.968571349,43.39278807,9.25
2008/7/18,5.036084038,3.456,35.06907445,1.6825,14.32436211,19.18225691,2.65389059,3.871428494,43.31332623,9.28
2008/7/21,5.070847197,3.424,35.3672231,1.7375,14.32436211,19.01906679,2.669960861,3.907142779,42.67763148,9.83
2008/7/22,4.940637819,3.3985,34.57732428,1.9175,14.32436211,19.13775051,2.612567034,3.888571351,43.8298282,10.09
2008/7/23,5.069932377,3.527,34.36868909,1.7925,14.46053758,19.60506768,2.690622639,3.997142777,44.8429667,11.12
2008/7/24,4.84946076,3.936,33.26572272,1.7975,14.05201118,18.87071213,2.532215675,3.818571352,44.63106845,11.08
2008/7/25,4.943687219,3.9155,34.11529717,1.7575,14.27248575,19.40478889,2.65389059,3.978571349,44.51187569,10.79
2008/7/28,4.708273542,3.799,33.51911464,1.715,14.05201118,18.91521853,2.64700333,4.089999918,44.17416286,10.33
2008/7/29,4.789997461,3.9105,34.45808778,1.8025,14.41514576,19.36770023,2.674552368,4.434285626,44.352952,10.87
2008/7/30,4.87538066,3.9105,35.06907445,1.745,14.41514576,19.45671302,2.635524565,4.361428484,44.30659926,10.76
2008/7/31,4.84702124,3.817,33.96622285,1.68,14.38920757,19.07840865,2.626341552,4.412857055,44.07483555,11.36
2008/8/1,4.777189981,3.7875,33.45943901,1.715,14.49296031,18.87071213,2.488596366,4.174285631,44.12118829,11.81
2008/8/4,4.672595562,3.7855,33.83206743,1.67,14.60319759,18.75202841,2.428906785,4.261428486,44.8098576,11.37
2008/8/5,4.898556099,3.9555,35.87389218,1.8,15.02080473,19.44187756,2.568947725,4.269999915,45.37271232,11.62
2008/8/6,5.006809798,3.9045,36.06772323,1.575,14.87725229,20.04271391,2.637820318,4.2857142,45.38595596,11.9
2008/8/7,4.987903518,3.8475,36.03788541,1.695,15.44493692,20.31717002,2.596496762,4.351428484,44.99526857,11.58
2008/8/8,5.170257636,4.0255,35.73985152,1.815,15.81034312,20.86608225,2.525328416,4.435714197,45.9223234,12.31
2008/8/11,5.292538574,4.4045,36.49991252,1.685,15.90821978,20.69547439,2.578130737,4.599999908,45.86934884,12.32
2008/8/12,5.389204553,4.3625,37.00669636,1.6125,15.99957133,20.85866451,2.541398688,4.401428483,46.10111255,12.2
2008/8/13,5.467574132,4.3345,37.55812217,1.63,15.7385669,20.70289212,2.814593307,4.451428482,46.18057439,12.22
2008/8/14,5.468184012,4.4015,36.70854772,1.7375,15.89516956,20.70289212,2.984479037,4.548571338,46.3130108,12.34
