date,ma10_AAPL,ma10_AMZN,ma10_ASML,ma10_DXCM,ma10_INTC,ma10_MSFT,ma10_NVDA,ma10_NFLX,ma10_PEP,ma10_SGEN,ma30_AAPL,ma30_AMZN,ma30_ASML,ma30_DXCM,ma30_INTC,ma30_MSFT,ma30_NVDA,ma30_NFLX,ma30_PEP,ma30_SGEN,ma100_AAPL,ma100_AMZN,ma100_ASML,ma100_DXCM,ma100_INTC,ma100_MSFT,ma100_NVDA,ma100_NFLX,ma100_PEP,ma100_SGEN,volume_AAPL,volume_AMZN,volume_ASML,volume_DXCM,volume_INTC,volume_MSFT,volume_NVDA,volume_NFLX,volume_PEP,volume_SGEN,cap_AAPL,cap_AMZN,cap_ASML,cap_DXCM,cap_INTC,cap_MSFT,cap_NVDA,cap_NFLX,cap_PEP,cap_SGEN,pe_AAPL,pe_AMZN,pe_ASML,pe_DXCM,pe_INTC,pe_MSFT,pe_NVDA,pe_NFLX,pe_PEP,pe_SGEN,libor_AAPL,libor_AMZN,libor_ASML,libor_DXCM,libor_INTC,libor_MSFT,libor_NVDA,libor_NFLX,libor_PEP,libor_SGEN,comexgold_AAPL,comexgold_AMZN,comexgold_ASML,comexgold_DXCM,comexgold_INTC,comexgold_MSFT,comexgold_NVDA,comexgold_NFLX,comexgold_PEP,comexgold_SGEN,comexcopper_AAPL,comexcopper_AMZN,comexcopper_ASML,comexcopper_DXCM,comexcopper_INTC,comexcopper_MSFT,comexcopper_NVDA,comexcopper_NFLX,comexcopper_PEP,comexcopper_SGEN,nymexwti_AAPL,nymexwti_AMZN,nymexwti_ASML,nymexwti_DXCM,nymexwti_INTC,nymexwti_MSFT,nymexwti_NVDA,nymexwti_NFLX,nymexwti_PEP,nymexwti_SGEN,cbot10tbonds_AAPL,cbot10tbonds_AMZN,cbot10tbonds_ASML,cbot10tbonds_DXCM,cbot10tbonds_INTC,cbot10tbonds_MSFT,cbot10tbonds_NVDA,cbot10tbonds_NFLX,cbot10tbonds_PEP,cbot10tbonds_SGEN
2008/5/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.804995434,-0.961993209,-0.975124506,-0.999253232,-0.644841527,-0.70594946,-0.879399651,-0.991745102,-0.96752806,-0.997841765,0.222156748,-0.750956007,-0.875778195,-1,0.025760869,1,-0.903478507,-0.986957385,-0.172128877,-0.995943077,0.925882027,1,0.938583703,0.770546456,0.893617082,0.862589247,-1,0.884612579,0.8756755,0.750613947,-0.395757776,-0.395757776,-0.395757776,-0.395757776,-0.395757776,-0.395757776,-0.395757776,-0.395757776,-0.395757776,-0.395757776,-0.685460811,-0.685460811,-0.685460811,-0.685460811,-0.685460811,-0.685460811,-0.685460811,-0.685460811,-0.685460811,-0.685460811,0.361328393,0.361328393,0.361328393,0.361328393,0.361328393,0.361328393,0.361328393,0.361328393,0.361328393,0.361328393,0.758225174,0.758225174,0.758225174,0.758225174,0.758225174,0.758225174,0.758225174,0.758225174,0.758225174,0.758225174,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712
2008/5/27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.83042794,-0.939277159,-0.990101377,-0.999656923,-0.682396713,-0.715431721,-0.874845234,-0.995255965,-0.962896822,-0.998376029,0.240404849,-0.747263269,-0.875361202,-1,0.019876797,1,-0.903814538,-0.986816072,-0.174537902,-0.996186732,0.924702881,1,0.935896225,0.766736242,0.88972696,0.859270211,-1,0.882505062,0.872117448,0.748477901,-0.379990475,-0.379990475,-0.379990475,-0.379990475,-0.379990475,-0.379990475,-0.379990475,-0.379990475,-0.379990475,-0.379990475,-0.71170907,-0.71170907,-0.71170907,-0.71170907,-0.71170907,-0.71170907,-0.71170907,-0.71170907,-0.71170907,-0.71170907,0.353643475,0.353643475,0.353643475,0.353643475,0.353643475,0.353643475,0.353643475,0.353643475,0.353643475,0.353643475,0.727135527,0.727135527,0.727135527,0.727135527,0.727135527,0.727135527,0.727135527,0.727135527,0.727135527,0.727135527,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712
2008/5/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.840291156,-0.95977472,-0.993097333,-0.999245643,-0.697649319,-0.685461479,-0.887035347,-0.988864904,-0.96111508,-0.998403924,0.255748679,-0.746675192,-0.873676739,-1,0.023601059,1,-0.902023261,-0.987151529,-0.179997699,-0.996295494,0.927146011,1,0.938482368,0.769663826,0.891424892,0.861095561,-1,0.882060455,0.873159771,0.752552145,-0.303058944,-0.303058944,-0.303058944,-0.303058944,-0.303058944,-0.303058944,-0.303058944,-0.303058944,-0.303058944,-0.303058944,-0.722560305,-0.722560305,-0.722560305,-0.722560305,-0.722560305,-0.722560305,-0.722560305,-0.722560305,-0.722560305,-0.722560305,0.346507479,0.346507479,0.346507479,0.346507479,0.346507479,0.346507479,0.346507479,0.346507479,0.346507479,0.346507479,0.733323272,0.733323272,0.733323272,0.733323272,0.733323272,0.733323272,0.733323272,0.733323272,0.733323272,0.733323272,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712
2008/5/29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.861078192,-0.958829026,-0.993581163,-0.999592593,-0.669713642,-0.713239222,-0.895818946,-0.986442353,-0.970362624,-0.995791756,0.247836855,-0.74697938,-0.874553784,-1,0.00454739,1,-0.902722019,-0.987566768,-0.172926018,-0.996097542,0.926047235,1,0.937287915,0.768546832,0.889028725,0.860451801,-1,0.878762513,0.873339029,0.750024833,-0.256548339,-0.256548339,-0.256548339,-0.256548339,-0.256548339,-0.256548339,-0.256548339,-0.256548339,-0.256548339,-0.256548339,-0.756727033,-0.756727033,-0.756727033,-0.756727033,-0.756727033,-0.756727033,-0.756727033,-0.756727033,-0.756727033,-0.756727033,0.259228764,0.259228764,0.259228764,0.259228764,0.259228764,0.259228764,0.259228764,0.259228764,0.259228764,0.259228764,0.687745246,0.687745246,0.687745246,0.687745246,0.687745246,0.687745246,0.687745246,0.687745246,0.687745246,0.687745246,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712
2008/5/30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.869025232,-0.968364895,-0.995227624,-0.998729972,-0.666393551,-0.618830301,-0.875254391,-0.992448298,-0.966576111,-0.996288943,0.26118546,-0.743029217,-0.87312342,-1,0.005939078,1,-0.897773483,-0.987550918,-0.179589127,-0.996143416,0.927577446,1,0.938501637,0.775745049,0.890897382,0.86344506,-1,0.88094634,0.875092199,0.758263111,-0.270820969,-0.270820969,-0.270820969,-0.270820969,-0.270820969,-0.270820969,-0.270820969,-0.270820969,-0.270820969,-0.270820969,-0.741916563,-0.741916563,-0.741916563,-0.741916563,-0.741916563,-0.741916563,-0.741916563,-0.741916563,-0.741916563,-0.741916563,0.291615205,0.291615205,0.291615205,0.291615205,0.291615205,0.291615205,0.291615205,0.291615205,0.291615205,0.291615205,0.686990643,0.686990643,0.686990643,0.686990643,0.686990643,0.686990643,0.686990643,0.686990643,0.686990643,0.686990643,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712
2008/6/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.854065475,-0.962695046,-0.992773955,-0.999630573,-0.695979015,-0.536813431,-0.889602162,-0.993366999,-0.95685339,-0.995478734,0.266742922,-0.742685207,-0.87431126,-1,0.025670072,1,-0.895406955,-0.987040158,-0.17341212,-0.996260567,0.929346718,1,0.938152484,0.779922257,0.894715305,0.865925219,-1,0.886242374,0.877947159,0.763514262,-0.336762282,-0.336762282,-0.336762282,-0.336762282,-0.336762282,-0.336762282,-0.336762282,-0.336762282,-0.336762282,-0.336762282,-0.733704817,-0.733704817,-0.733704817,-0.733704817,-0.733704817,-0.733704817,-0.733704817,-0.733704817,-0.733704817,-0.733704817,0.281185673,0.281185673,0.281185673,0.281185673,0.281185673,0.281185673,0.281185673,0.281185673,0.281185673,0.281185673,0.702384546,0.702384546,0.702384546,0.702384546,0.702384546,0.702384546,0.702384546,0.702384546,0.702384546,0.702384546,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712
2008/6/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.837411216,-0.962395481,-0.993976279,-0.999280087,-0.602289814,-0.448946481,-0.873137515,-0.991870143,-0.958004337,-0.989183723,0.28444617,-0.738410343,-0.871200756,-1,0.032395108,1,-0.897143245,-0.986276327,-0.164777127,-0.996412173,0.926894302,1,0.937420549,0.773814856,0.890570786,0.860744047,-1,0.885915294,0.873788449,0.758020198,-0.340806682,-0.340806682,-0.340806682,-0.340806682,-0.340806682,-0.340806682,-0.340806682,-0.340806682,-0.340806682,-0.340806682,-0.750274947,-0.750274947,-0.750274947,-0.750274947,-0.750274947,-0.750274947,-0.750274947,-0.750274947,-0.750274947,-0.750274947,0.26856045,0.26856045,0.26856045,0.26856045,0.26856045,0.26856045,0.26856045,0.26856045,0.26856045,0.26856045,0.669483851,0.669483851,0.669483851,0.669483851,0.669483851,0.669483851,0.669483851,0.669483851,0.669483851,0.669483851,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712
2008/6/4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.843836072,-0.961220198,-0.991576676,-0.998945182,-0.65418897,-0.521339175,-0.874852365,-0.994334973,-0.965014775,-0.996681191,0.272494763,-0.736009957,-0.872040275,-1,0.047936189,1,-0.896729691,-0.986086357,-0.176424459,-0.996396416,0.924052325,1,0.934780813,0.773558962,0.890636824,0.859423451,-1,0.885186511,0.871253455,0.757469256,-0.36533685,-0.36533685,-0.36533685,-0.36533685,-0.36533685,-0.36533685,-0.36533685,-0.36533685,-0.36533685,-0.36533685,-0.752767798,-0.752767798,-0.752767798,-0.752767798,-0.752767798,-0.752767798,-0.752767798,-0.752767798,-0.752767798,-0.752767798,0.250446,0.250446,0.250446,0.250446,0.250446,0.250446,0.250446,0.250446,0.250446,0.250446,0.643525506,0.643525506,0.643525506,0.643525506,0.643525506,0.643525506,0.643525506,0.643525506,0.643525506,0.643525506,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712
2008/6/5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.837828936,-0.94631055,-0.990946379,-0.999447516,-0.687612823,-0.542676356,-0.875554828,-0.990863576,-0.964482333,-0.994439039,0.266676696,-0.733570993,-0.876181609,-1,0.036728584,1,-0.896950296,-0.986101087,-0.19110085,-0.996093786,0.921427261,1,0.928094778,0.771648781,0.887504004,0.857341709,-1,0.882864727,0.867720217,0.753629097,-0.392094369,-0.392094369,-0.392094369,-0.392094369,-0.392094369,-0.392094369,-0.392094369,-0.392094369,-0.392094369,-0.392094369,-0.764645502,-0.764645502,-0.764645502,-0.764645502,-0.764645502,-0.764645502,-0.764645502,-0.764645502,-0.764645502,-0.764645502,0.250446,0.250446,0.250446,0.250446,0.250446,0.250446,0.250446,0.250446,0.250446,0.250446,0.709477815,0.709477815,0.709477815,0.709477815,0.709477815,0.709477815,0.709477815,0.709477815,0.709477815,0.709477815,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712
2008/6/6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.792518835,-0.952886827,-0.992637784,-0.999573951,-0.579954954,-0.528019525,-0.882038266,-0.99431,-0.941533959,-0.997827309,0.277893807,-0.738416513,-0.8780054,-1,0.023843507,1,-0.897372663,-0.986378937,-0.189217455,-0.996182624,0.92605771,1,0.92958657,0.773560638,0.889521164,0.860463493,-1,0.8849109,0.871085969,0.756272279,-0.401619226,-0.401619226,-0.401619226,-0.401619226,-0.401619226,-0.401619226,-0.401619226,-0.401619226,-0.401619226,-0.401619226,-0.730038859,-0.730038859,-0.730038859,-0.730038859,-0.730038859,-0.730038859,-0.730038859,-0.730038859,-0.730038859,-0.730038859,0.289419514,0.289419514,0.289419514,0.289419514,0.289419514,0.289419514,0.289419514,0.289419514,0.289419514,0.289419514,0.821762753,0.821762753,0.821762753,0.821762753,0.821762753,0.821762753,0.821762753,0.821762753,0.821762753,0.821762753,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712,-0.78558712
